ASVid	taxonomy
fe6e0d84335c1c1de1b254c8c3bcd054	"Plectosphaerella_slobbergiarum|MW883443|SH3177798.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_slobbergiarum"
74220d7cc188f03b9899d837f2f58e89	"Stagonosporopsis_valerianellae|GU237832|SH2738163.09FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Stagonosporopsis;s__Stagonosporopsis_valerianellae"
0e7d9405ca545de2522cfd861958e2b6	"Blumeria_graminis|MN540407|SH0945525.09FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Blumeria;s__Blumeria_graminis"
dbfc2224b41f2f071f48f66a6734f70e	"Gymnoascus_reessii|GQ376102|SH0921934.09FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Gymnoascaceae;g__Gymnoascus;s__Gymnoascus_reessii"
133b9138327628a69e857b266bea0d9a	"Aspergillus_ruber|EF652066|SH1083171.09FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_ruber"
4bfe433f48f73e43b61f3fac649b3279	"Fusicolla_septimanifiniscientiae|MK069422|SH3920575.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusicolla;s__Fusicolla_septimanifiniscientiae"
8faf977eab30e229c4ba0eec5059a410	"Tilachlidium_brachiatum|KJ882910|SH1079638.09FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Tilachlidiaceae;g__Tilachlidium;s__Tilachlidium_brachiatum"
eced5e02a199e08d04a9af3ac661185d	"Mortierella_sp|UDB04791780|SH1302508.09FU|reps|k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp"
78e3972e4f963d32de308d167da5fd5b	"Tausonia_pullulans|AF444417|SH1071204.09FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Tausonia;s__Tausonia_pullulans"
e26835f664ce7f0253e2edd3648a6487	"Chordomyces_antarcticus|KJ443241|SH1451459.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Chordomyces;s__Chordomyces_antarcticus"
