"","its-1_F_filt.fastq.gz","its-10_F_filt.fastq.gz","its-11_F_filt.fastq.gz","its-12_F_filt.fastq.gz","its-13_F_filt.fastq.gz","its-14_F_filt.fastq.gz","its-15_F_filt.fastq.gz","its-16_F_filt.fastq.gz","its-17_F_filt.fastq.gz","its-18_F_filt.fastq.gz","its-19_F_filt.fastq.gz","its-2_F_filt.fastq.gz","its-20_F_filt.fastq.gz","its-21_F_filt.fastq.gz","its-22_F_filt.fastq.gz","its-23_F_filt.fastq.gz","its-24_F_filt.fastq.gz","its-25_F_filt.fastq.gz","its-26_F_filt.fastq.gz","its-27_F_filt.fastq.gz","its-28_F_filt.fastq.gz","its-29_F_filt.fastq.gz","its-3_F_filt.fastq.gz","its-30_F_filt.fastq.gz","its-31_F_filt.fastq.gz","its-32_F_filt.fastq.gz","its-33_F_filt.fastq.gz","its-34_F_filt.fastq.gz","its-35_F_filt.fastq.gz","its-36_F_filt.fastq.gz","its-37_F_filt.fastq.gz","its-38_F_filt.fastq.gz","its-39_F_filt.fastq.gz","its-4_F_filt.fastq.gz","its-40_F_filt.fastq.gz","its-41_F_filt.fastq.gz","its-42_F_filt.fastq.gz","its-43_F_filt.fastq.gz","its-44_F_filt.fastq.gz","its-45_F_filt.fastq.gz","its-46_F_filt.fastq.gz","its-47_F_filt.fastq.gz","its-48_F_filt.fastq.gz","its-5_F_filt.fastq.gz","its-6_F_filt.fastq.gz","its-7_F_filt.fastq.gz","its-8_F_filt.fastq.gz","its-9_F_filt.fastq.gz","its-negC_F_filt.fastq.gz","its-posC_F_filt.fastq.gz"
"a0e9d3880e0a106498b27f7dc941bd09",0,0,13,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,112,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"bca8c3cb0cf5393740f2c97882c71eed",0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28a54f3ce00034c0d696007206b89d98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0
"b02000e83a20ef424bc805e1114708fd",0,31,9,21,0,11,0,3,0,0,0,0,0,0,0,0,0,12,0,58,0,0,0,0,7,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
"47c4b93655f6da45e02c7369b704c57f",0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
"df98884703f599a502468a12d5c31c61",0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,15,14,38,16,0,0,0
"720513e12336972ab8ada250ad9e9752",0,23,25,33,0,0,47,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
"e644a3e72d130736d9dca4684dd34bc2",0,0,21,33,17,0,76,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e6ef9b540a1f116679b83b349fda715d",13,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,4,43,43,18,0,0,0
"4d73e0955e9d611b8e4778ca2a89ab8b",0,22,15,35,18,12,19,7,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"51bbf45582a8258021f34e8e383dd365",0,0,0,0,169,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1882456174bd843f6f0e8972edc98831",10,41,27,33,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,24,0,3,8,0,0
"37f696fd654a3eaf91973ed69ec900a3",0,18,18,21,44,22,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"aa119c60b5dee3bb98b7aa29ce9878ee",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,39,0,8,0,0,0,0,0,13,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,5,0,0,0,0
"699a1488754cf7086cfd456214d3dc83",0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"045afad24b90df5a8b137075dd04e89e",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,63,49,0,0,0,0
"1137a2cde3953f61380e41859a95e0c1",0,27,0,42,57,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
"7c4cf269a01ea0a249013856d62fc92b",0,64,19,26,14,6,10,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
"f6549b1327bcd54bbb6719289a5a435a",29,0,0,0,0,0,0,0,0,0,0,0,26,0,0,45,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,10,0,0,0,0,0,0
"11857ffe09ef6fb67012bcc47ef80354",0,14,16,26,24,15,32,25,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
"046d4f1b252a5310e879d0173af4928e",0,0,63,42,43,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"798a26fae8b1cd87645e6b1406aeb738",0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60e130e6db204826e3ab661dad99d6a7",3,9,30,26,11,12,6,11,0,0,0,6,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,8,4,0,7,13,0,0
"748b60d076db20878fe22de93762f40e",10,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,37,28,25,0,0,0
"45db1bf1b304a629fc7d9f2c55524d30",0,0,9,7,0,5,123,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"f88a2f9ab2caa940773dc2b4a451943e",3,15,12,9,7,16,10,17,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,6,0,11,21,9,0,0
"08d5de823e5c67f3ab5f4eb3370577f3",0,22,17,0,0,19,51,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115ee1cbbc818c74025cdea2265956e2",0,22,29,15,11,8,46,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0
"b1882dfbf26801b157eed2c8d2f340a5",0,10,7,18,21,19,35,16,0,0,0,0,0,0,0,0,0,11,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08d62509391b769f3343a7008f9e15e5",0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,40,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1b00412515f6770ea75a4692b5f5ab9e",12,0,36,43,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
"55cad4690471cac7e6ab27d4d4fe9e85",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e79152f3a2acc955509a600075a644d9",0,81,0,0,0,0,55,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c574e1b28e8cc33d079e3305d6e728da",0,11,22,80,20,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
"33ef8585db0468424fb20bcba6abeed2",0,0,30,32,28,0,17,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18228950d24cc874ab53d31b2a200296",8,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,16,58,44,0,0,0,0
"4efe73917d2d00988e2bdc83c85ede72",0,30,25,24,16,12,28,15,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"2aa4504b65dddb400029853ec79b9ee6",0,15,21,0,7,27,8,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"4beacebff7c60167c4a830e1c3dc9f60",0,5,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e33689e73be811ac93dd4e4e19deaa6d",0,0,60,33,0,24,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
"a097b711c068aaeab75402bd89db6ac4",0,34,23,42,0,17,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a621a2f333836d075e85c9130d778ae8",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,29,7,34,0,0,0,0,0,0,0,0,16,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8c468948895074870c3b8551fe19b438",0,0,0,0,13,15,0,6,0,0,0,0,0,0,0,0,0,18,11,19,0,0,0,0,0,0,0,0,0,13,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e1804931bc0fa2fe5ca0ffa091901781",0,100,0,15,15,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"a078e60f3dd88794a61f4e046a34b6fe",0,0,0,88,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"550367c8019bc1f81297348b34b64174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0
"1bab5f752a2bfd3a48ab374e0096f9b6",0,21,33,25,22,15,0,13,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
"16272d9dc24b12be0dc3b8951fac1fb6",0,0,10,19,9,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"7681f86ff63e37fd9bd2fa2af03c331f",0,37,29,20,0,0,40,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0f7f84ef73b4ccf7e0dd426484521e0d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1f23e7905d3811332a507757a93c835c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0a3e6645e115d40278623237c7f5ba69",0,21,41,9,11,20,32,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"7ef3f9ccfbb31a10df480bbb85c24577",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0
"74d723bd6b5e81a9080ccbd5be5d1097",0,0,0,51,0,0,58,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7c85a27523522ada1b08a08473935af4",0,11,13,13,12,27,40,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"f8b055f8161bf2577dc0ca8075cbfb13",0,0,5,17,0,0,0,0,28,0,23,9,0,0,0,15,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,0,10,0,0
"d1c35dfc701554d2dc5736ae9404bdcb",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0
"d6e639ad4e19fab3454a77617a9178f4",0,0,83,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"824138ab6ad15c41ab24d9320d06923c",0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0
"fc2f874f0392e7803e2ba1b150e6a7b3",0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0
"80b87ad1a629ef0b4c4e8eca1aa99817",0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,12,0,0,95,0,0,0
"3074dabab948627efea12938c1f22bbd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,38,0,0,0
"8c2398de19b67158743159ac45abb7de",0,0,0,41,0,0,66,20,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6345de5f653ad4f4f474129cebc51302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01cd32bebd36ae0011fcb6cdd84bf151",0,0,11,24,11,0,60,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"edf9bbb23b6c61d8f57d74c34c04876c",0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,47,0,0,0,0
"3f3ebaa1b626b7a0d50e646e66be5b06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ef1967b92a560af692b71d618b5a7600",0,0,5,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,19,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
"bcf46b9760ba3d4dfc796f481bbb3bb6",0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,117,0,0,0,0,0
"6ddbea6d50e292263f78cf665066d23b",68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,6,0,0,0,0
"b6d77459a30ca47293b0bac0ea9b6a98",28,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,7,0,0,15,0,0,0
"b75299e2baa039b55b67f16ce9856599",0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cdb6365c804485f2bb55e2c73b6cb742",0,0,0,37,0,0,68,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5bc51930695bc0eb94a3498ab3468f28",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"cc174849857470cf1ec79e6301232f71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0
"9a21b7d1fb11882a5877240d8b82556b",0,0,11,0,18,27,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,12,18,25,9,0,0
"eb7c9247f1a9632377b8526eaff7271b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,130,0,0,0
"dfe20c780dcb13f08cdaef236e3465ec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"b90592c9530d12ce76d7e7b94023b9ad",0,14,48,6,0,15,39,0,0,0,0,0,0,0,0,0,0,0,12,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c69f30acaf6c0b180ea541251cb5d986",0,6,11,12,12,0,20,10,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"cec9eceaf659d1d2c80f0d29c8be91e3",0,0,11,36,11,0,63,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d4da202d50d0464ef5ab8dc854481c7c",0,0,4,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,4,0,0,0
"aff949cca7e48820cba3caf4ff7bf2a6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,49,31,30,0,0,0
"c9764fb5932adeede402b0ea434cc5cf",80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0876a184f98d8a2c569cde85b8d3958c",0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"4ec3486e256133a073faaf51092e74d9",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dbf33caddb2454314c7f6c4ed3e83199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0
"4e04d9d69f54759c2e90660cae690b06",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,39,33,0,0,0
"54dc4bd04f66db8cdb9e734fb555cb57",0,0,65,0,25,34,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"996e3f2de9a1ca3db2f2149b56cc5fd2",0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
"454b6b8e0bd81e2216ea3d00835e186d",11,13,24,7,10,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,16,0,0,0
"6a537e1a19dc766cd5c5a554aebb07d0",0,90,0,0,24,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37d20b2fa4064724dffc7296132b226c",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
"58f261c4bcbc48de7125083a430b7155",0,21,8,58,12,8,11,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"4ad1bc0e8526dd520f661fa982727739",0,0,10,0,0,0,59,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
"1dee5ad06d5942d4225d0042ac3bf097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,69,0,39,0,0,0
"ccaa7c4c494b90e36dc01d731f3bc98a",0,0,0,6,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,25,33,0,0,0
"b8d80e0895807999b0436d539000e236",0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0
"351f7f7920eb826b1ee7f608368c2ea2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,10,0,38,0,0,22,0,0,0,0,0,9,0,0,0,0,18,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"e30f33b1cbc7e363adca5cec1e37ee09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0
"573c1e81442ebd856ebb9cf268755bca",52,0,0,0,0,0,0,0,0,0,0,14,20,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
"d345c0997b3d7d117ffdf03fb2400e3f",8,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,10,18,29,20,0,0,0
"cc9c58e913d814aaa23fb9b704d1a4a5",0,11,14,18,11,21,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
"02d74f859448d2de132cb1b3af5e6129",0,6,19,35,16,8,0,16,0,0,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"380c93c2543ee6fc94d1080a60b975e1",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0
"330a94aebcd5122cdf024363fe06744c",0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3bb999ef47a239042c73d7e7b50d7997",0,51,21,0,16,19,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
